Cost 8989
Edges 89
E 508 16
E 527 16
E 527 75
E 521 75
E 521 11
E 521 36
E 529 36
E 529 69
E 529 85
E 529 105
E 550 105
E 550 97
E 512 97
E 534 85
E 530 69
E 530 47
E 530 181
E 536 181
E 525 47
E 525 245
E 531 245
E 514 11
E 544 11
E 544 35
E 513 35
E 513 114
E 503 114
E 514 41
E 515 41
E 542 41
E 542 43
E 542 126
E 510 126
E 507 43
E 507 20
E 507 23
E 526 23
E 526 56
E 509 56
E 522 20
E 545 20
E 545 83
E 516 83
E 516 2
E 548 2
E 548 84
E 540 84
E 540 103
E 532 103
E 522 18
E 522 81
E 518 81
E 502 18
E 505 18
E 528 18
E 528 8
E 528 109
E 523 109
E 517 8
E 519 8
E 519 14
E 519 61
E 511 61
E 541 14
E 541 91
E 549 91
E 517 12
E 517 17
E 517 19
E 506 19
E 506 5
E 543 5
E 547 17
E 538 12
E 539 12
E 538 3
E 501 3
E 501 30
E 501 116
E 504 116
E 546 30
E 505 13
E 520 13
E 524 13
E 537 13
E 524 122
E 535 122
E 502 239
E 533 239
