Cost 30761
Edges 255
E 456 452
E 456 446
E 446 442
E 454 452
E 554 454
E 554 254
E 254 234
E 234 232
E 232 202
E 332 232
E 372 332
E 207 202
E 207 7
E 57 7
E 57 27
E 27 24
E 37 27
E 37 17
E 117 17
E 117 114
E 115 114
E 215 115
E 255 215
E 265 215
E 245 215
E 250 245
E 350 250
E 565 265
E 565 515
E 915 515
E 916 915
E 455 255
E 455 425
E 445 425
E 545 445
E 29 24
E 29 23
E 23 13
E 723 23
E 725 723
E 725 722
E 20 13
E 43 13
E 44 43
E 44 41
E 45 44
E 95 45
E 195 95
E 197 195
E 795 195
E 397 197
E 49 41
E 341 41
E 342 341
E 347 341
E 347 47
E 542 342
E 546 542
E 746 546
E 750 746
E 750 744
E 69 49
E 69 19
E 99 19
E 99 79
E 80 79
E 80 76
E 180 80
E 580 80
E 180 140
E 140 120
E 140 133
E 140 137
E 740 140
E 187 137
E 187 127
E 527 127
E 133 132
E 532 132
E 220 120
E 220 212
E 270 220
E 470 270
E 470 463
E 463 462
E 462 362
E 362 361
E 370 361
E 370 368
E 368 338
E 338 308
E 908 308
E 412 212
E 222 212
E 230 222
E 230 221
E 221 201
E 417 412
E 419 417
E 419 414
E 424 414
E 86 76
E 586 86
E 786 586
E 786 766
E 866 766
E 20 10
E 20 14
E 50 20
E 100 50
E 500 100
E 74 14
E 10 4
E 5 4
E 304 4
E 34 4
E 4 1
E 51 1
E 91 1
E 901 1
E 981 901
E 91 11
E 16 11
E 66 16
E 66 63
E 83 63
E 963 63
E 183 83
E 55 51
E 53 51
E 71 51
E 851 51
E 71 61
E 161 61
E 653 53
E 75 55
E 75 65
E 68 65
E 78 68
E 268 68
E 668 268
E 78 38
E 38 33
E 33 3
E 103 3
E 105 103
E 105 104
E 108 105
E 105 102
E 175 105
E 177 175
E 375 175
E 475 375
E 177 157
E 159 157
E 159 151
E 951 151
E 959 951
E 402 102
E 403 402
E 404 403
E 410 404
E 430 410
E 430 30
E 118 108
E 118 112
E 158 118
E 162 112
E 164 162
E 194 164
E 194 144
E 146 144
E 146 143
E 143 123
E 125 123
E 193 123
E 193 113
E 893 193
E 893 803
E 116 113
E 313 113
E 413 313
E 413 411
E 418 411
E 611 411
E 818 418
E 216 116
E 136 116
E 536 136
E 536 236
E 256 236
E 226 216
E 216 213
E 229 226
E 249 229
E 259 249
E 259 251
E 291 251
E 291 191
E 191 171
E 171 121
E 126 121
E 126 106
E 125 122
E 922 122
E 922 22
E 25 22
E 225 25
E 227 225
E 325 225
E 327 227
E 427 327
E 477 427
E 777 477
E 109 104
E 209 109
E 199 109
E 199 119
E 509 209
E 289 209
E 609 209
E 289 285
E 288 285
E 589 509
E 889 589
E 434 34
E 438 434
E 438 435
E 435 431
E 437 431
E 344 304
E 348 344
E 344 244
E 244 224
E 264 224
E 324 224
E 524 224
E 524 504
E 594 504
E 334 324
E 269 264
E 388 348
E 348 346
E 349 346
E 399 349
E 399 392
E 392 92
E 388 386
E 686 386
E 305 5
E 345 305
E 385 345
E 385 335
E 335 235
E 235 35
